Product ID,RMSE,MAE
P0001,1026.2932536448882,686.9134049822333
P0002,1105.3070003665036,711.3273458589124
P0003,1050.3784435770865,603.5016687787573
P0004,1138.9584468196686,798.8557459207982
P0005,971.5672075716374,611.4579030530475
P0006,1154.2271702940632,751.4488418396515
P0007,1082.6239604556863,552.1398952757144
P0008,1098.7119808146288,725.4457249086656
P0009,1088.8628106984788,719.2280180834039
P0010,962.7600180282056,656.933594604122
P0011,1060.77846708901,626.4134757253215
P0012,1074.8511906275942,657.9046686954589
P0013,1080.8222415178786,700.5073040950842
P0014,939.465377172737,555.5567107771202
P0015,1088.2819744896499,722.6871378502539
P0016,1189.8826468741338,718.3601797434723
P0017,1265.4248307844625,804.3202427127
P0018,1040.4553978606104,621.6105672613241
P0019,937.6145653549769,590.7102100412784
P0020,1065.4373270984688,702.7796907121929
